sample_idx,baseline,avg_kl,exact_match,num_masks
47,cond_sample,11.901396751403809,0,1
47,cond_topk_rescore,-2.9798229661537334e-08,1,1
47,gibbs,4.857358932495117,0,1
48,ground_truth,-2.365368345635943e-08,1,1
48,untouched,19.490442276000977,0,1
48,random_token,10.496074676513672,0,1
48,cond_argmax,-2.365368345635943e-08,1,1
48,cond_sample,-2.365368345635943e-08,1,1
48,cond_topk_rescore,-2.365368345635943e-08,1,1
48,gibbs,-2.365368345635943e-08,1,1
49,ground_truth,-2.980108781969193e-08,1,1
49,untouched,8.176202774047852,0,1
49,random_token,3.5875046253204346,0,1
49,cond_argmax,13.209537506103516,0,1
49,cond_sample,13.209537506103516,0,1
49,cond_topk_rescore,10.111129760742188,0,1
49,gibbs,8.176202774047852,0,1
50,ground_truth,2.7470605346024968e-08,1,1
50,untouched,14.177865028381348,0,1
50,random_token,16.417739868164062,0,1
50,cond_argmax,16.980262756347656,0,1
50,cond_sample,16.980262756347656,0,1
50,cond_topk_rescore,15.101709365844727,0,1
50,gibbs,14.177865028381348,0,1
51,ground_truth,-2.435487544971693e-08,1,1
51,untouched,5.395075798034668,0,1
51,random_token,7.3768510818481445,0,1
51,cond_argmax,1.90195631980896,0,1
51,cond_sample,4.596725940704346,0,1
51,cond_topk_rescore,-2.435487544971693e-08,1,1
51,gibbs,8.287193298339844,0,1
52,ground_truth,-8.29913915367797e-12,1,1
52,untouched,10.904411315917969,0,1
52,random_token,12.325718879699707,0,1
52,cond_argmax,5.507209777832031,0,1
52,cond_sample,3.467712879180908,0,1
52,cond_topk_rescore,2.383138418197632,0,1
52,gibbs,8.082367897033691,0,1
53,ground_truth,-1.4901161193847656e-08,1,1
53,untouched,14.867942810058594,0,1
53,random_token,0.6418209075927734,0,1
53,cond_argmax,0.13152162730693817,0,1
53,cond_sample,0.18112713098526,0,1
53,cond_topk_rescore,0.13152162730693817,0,1
53,gibbs,0.13152162730693817,0,1
54,ground_truth,-8.940696716308594e-08,1,1
54,untouched,10.624776840209961,0,1
54,random_token,8.307445526123047,0,1
54,cond_argmax,11.838997840881348,0,1
54,cond_sample,9.730903625488281,0,1
54,cond_topk_rescore,0.3951590359210968,0,1
54,gibbs,12.632684707641602,0,1
55,ground_truth,-2.2351532180664435e-08,1,1
55,untouched,10.954010009765625,0,1
55,random_token,3.0311551094055176,0,1
55,cond_argmax,7.667952537536621,0,1
55,cond_sample,7.667952537536621,0,1
55,cond_topk_rescore,6.900945663452148,0,1
55,gibbs,3.645444393157959,0,1
56,ground_truth,-2.9802322387695312e-08,1,1
56,untouched,10.821578979492188,0,1
56,random_token,14.338191986083984,0,1
56,cond_argmax,11.883034706115723,0,1
56,cond_sample,15.318004608154297,0,1
56,cond_topk_rescore,8.876119613647461,0,1
56,gibbs,10.821578979492188,0,1
57,ground_truth,3.5804816889140056e-09,1,1
57,untouched,11.8153076171875,0,1
57,random_token,6.489386081695557,0,1
57,cond_argmax,17.628087997436523,0,1
57,cond_sample,15.850282669067383,0,1
57,cond_topk_rescore,15.365352630615234,0,1
57,gibbs,11.8153076171875,0,1
58,ground_truth,-3.1001263778307475e-08,1,1
58,untouched,5.261591911315918,0,1
58,random_token,9.577605247497559,0,1
58,cond_argmax,9.952683448791504,0,1
58,cond_sample,9.952683448791504,0,1
58,cond_topk_rescore,4.766542434692383,0,1
58,gibbs,4.766542434692383,0,1
59,ground_truth,6.000675512041198e-08,1,1
59,untouched,10.269268989562988,0,1
59,random_token,13.113289833068848,0,1
59,cond_argmax,17.535764694213867,0,1
59,cond_sample,17.535764694213867,0,1
59,cond_topk_rescore,6.000675512041198e-08,1,1
59,gibbs,10.269268989562988,0,1
60,ground_truth,-1.325952325714752e-08,1,1
60,untouched,10.234695434570312,0,1
60,random_token,10.993536949157715,0,1
60,cond_argmax,7.840780258178711,0,1
60,cond_sample,7.840780258178711,0,1
60,cond_topk_rescore,-1.325952325714752e-08,1,1
60,gibbs,7.840780258178711,0,1
61,ground_truth,-8.319602784467861e-10,1,1
61,untouched,7.986960411071777,0,1
61,random_token,10.395111083984375,0,1
61,cond_argmax,11.26191520690918,0,1
61,cond_sample,11.26191520690918,0,1
61,cond_topk_rescore,3.148259401321411,0,1
61,gibbs,1.5184866189956665,0,1
62,ground_truth,-4.889443516731262e-09,1,1
62,untouched,16.452800750732422,0,1
62,random_token,8.266704559326172,0,1
62,cond_argmax,14.951065063476562,0,1
62,cond_sample,14.951065063476562,0,1
62,cond_topk_rescore,14.951065063476562,0,1
62,gibbs,14.951065063476562,0,1
63,ground_truth,-2.933723308728986e-08,1,1
63,untouched,7.067593574523926,0,1
63,random_token,2.560789108276367,0,1
63,cond_argmax,6.152181625366211,0,1
63,cond_sample,3.366760492324829,0,1
63,cond_topk_rescore,0.13171418011188507,0,1
63,gibbs,6.152181625366211,0,1
64,ground_truth,5.960464477539063e-08,1,1
64,untouched,7.157639503479004,0,1
64,random_token,7.024741172790527,0,1
64,cond_argmax,9.32015609741211,0,1
64,cond_sample,9.32015609741211,0,1
64,cond_topk_rescore,5.960464477539063e-08,1,1
64,gibbs,7.157639503479004,0,1
65,ground_truth,-2.232772647325909e-11,1,1
65,untouched,4.8535685539245605,0,1
65,random_token,10.715063095092773,0,1
65,cond_argmax,-2.232772647325909e-11,1,1
65,cond_sample,-2.232772647325909e-11,1,1
65,cond_topk_rescore,-2.232772647325909e-11,1,1
65,gibbs,-2.232772647325909e-11,1,1
66,ground_truth,-2.4158453015843406e-10,1,1
66,untouched,4.207021713256836,0,1
66,random_token,6.701947212219238,0,1
66,cond_argmax,4.487802505493164,0,1
66,cond_sample,6.500600814819336,0,1
66,cond_topk_rescore,-2.4158453015843406e-10,1,1
66,gibbs,4.207021713256836,0,1
67,ground_truth,-2.3216711539375545e-11,1,1
67,untouched,10.194624900817871,0,1
67,random_token,10.09126091003418,0,1
67,cond_argmax,0.28036990761756897,0,1
67,cond_sample,0.12355653941631317,0,1
67,cond_topk_rescore,0.28036990761756897,0,1
67,gibbs,0.28036990761756897,0,1
68,ground_truth,-2.5198005459969863e-08,1,1
68,untouched,2.981064796447754,0,1
68,random_token,5.781922340393066,0,1
68,cond_argmax,-2.5198005459969863e-08,1,1
68,cond_sample,-2.5198005459969863e-08,1,1
68,cond_topk_rescore,0.004425698425620794,0,1
68,gibbs,-2.5198005459969863e-08,1,1
69,ground_truth,1.280568540096283e-08,1,1
69,untouched,16.18440055847168,0,1
69,random_token,10.73710823059082,0,1
69,cond_argmax,19.649105072021484,0,1
69,cond_sample,17.563894271850586,0,1
69,cond_topk_rescore,7.826095104217529,0,1
